Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
D0_moderately.11	0	0	0.199385541270612	0	0	0	0	0	0	0.216971035568397	0	0	0	0.152799860700814	0	0	0	0.184286168563626	0	0.173762729776483	0	0.660866090329648	0.41	0.320636013506935	0.967771610712417	1.58807142620958
D0_moderately.12	0	0.138618581723967	0.163644365361081	0	0	0.395342197540978	0	0.183835666820095	0	0.294004942741288	0.227957432738071	0	0	0.468499129478769	0	0	0	0.29508340567967	0	0.33887879878122	0	1.66432554918787	0.17	0.493145513292697	0.863681659387423	4.17019007005301
D0_moderately.13	0	0	0.16523978739316	0	0	0.190135625520421	0	0.0156334241291393	0	0.225345989107675	0.355576698600353	0	0	0.510412675834126	0	0	0	0.249441097656573	0	0.418422102111909	0	1.76726091151495	0.13	0.525651046724539	0.852531027479064	3.89746831186831
D0_moderately.14	0	0	0.265860120141905	0	0	0	0	0	0	0.236607959601758	0.0279797896997735	0	0	0.275040731949182	0	0	0	0.247236234415296	0	0.249010416127588	0	0.822949131641035	0.23	0.457067039034089	0.889241256295205	2.12468438357654
D0_moderately.15	0	0	0.222926745793444	0	0	0	0	0	0	0.0655645485977716	0.152951914113267	0	0	0.228241102628664	0	0	0	0.374305701043884	0	0.396165573693574	0	0.988637149579254	0.34	0.385477408055246	0.928003118784227	2.42879273544986
D0_moderately.16	0	0	0.21141986588165	0	0	0	0	0.00169598464376871	0	0.157995475716021	0.122370757804125	0	0	0.285981506152122	0	0	0	0.180715004049223	0	0.248795920170443	0	0.898309901094615	0.18	0.481801016443096	0.879432935931001	2.10728441551197
D7_Severe	0	0	0.181507703236677	0	0	0	0	0	0	0.291957725741991	0	0	0	0.278723746229021	0	0	0	0.320856381031208	0	0.23427763770074	0	0.573671894041286	0.23	0.462880584487344	0.880211968558666	1.88099508798092
D7_Severe.1	0	0	0.343600154176604	0	0	0	0	0	0	0.296558502408082	0	0	0	0.419180150104848	0	0	0	0.283009599420783	0	0.370365251895916	0	0.870403501453752	0.35	0.35978254458495	0.946325939676141	2.58311715945999
D7_Severe.2	0	0	0.239333150362768	0	0	0	0	0	0	0.192300013308699	0.0213973698222231	0	0	0.306020884686626	0	0	0	0.285587766623106	0	0.218121814562445	0	0.742857699051486	0.35	0.379365968745217	0.93544060612865	2.00561869841735
D7_Severe.3	0	0	0.3282538814501	0	0.040329544482308	0.0310272163360009	0	0.0444195061050689	0	0.235663287152116	0.103970226025235	0	0	0.292625107370178	0	0	0	0.148016468830304	0	0.412855680357571	0	1.37708737332391	0.17	0.484424892437861	0.876140078418886	3.01424829143279
